feature,type,importance,share,cum_share
SVD #165,Text (SVD),0.8640986161034176,0.0014837745368269822,0.6365113086095145
SVD #171,Text (SVD),0.8597937036179125,0.0014763824181379544,0.6504042366008028
SVD #041,Text (SVD),0.8570489156564367,0.0014716692448839659,0.19375022199704134
SVD #010,Text (SVD),0.8519319526881702,0.0014628827253632683,0.061944103245833805
SVD #228,Text (SVD),0.8372779046291562,0.0014377197370582372,0.9330546243275758
SVD #018,Text (SVD),0.8334958720588734,0.0014312254741110967,0.1248675266194616
SVD #173,Text (SVD),0.8252677338628296,0.0014170966447005862,0.6570734722767334
SVD #039,Text (SVD),0.7770837215533886,0.0013343581595155227,0.190339397656398
SVD #026,Text (SVD),0.7723676923920357,0.0013262600977270388,0.14859382417053368
SVD #036,Text (SVD),0.7579800167075039,0.0013015545069217898,0.1836914431484314
SVD #220,Text (SVD),0.7458417779165474,0.0012807115043937181,0.9210816257409147
SVD #231,Text (SVD),0.7438399691323673,0.0012772741271705522,0.9418859817857062
SVD #176,Text (SVD),0.7410959546519773,0.001272562282088509,0.6665896661943261
SVD #226,Text (SVD),0.7251879384849604,0.0012452460604441655,0.9303794657664529
SVD #227,Text (SVD),0.7206412759134991,0.0012374388240647114,0.9316169045905176
SVD #059,Text (SVD),0.7108087598945988,0.0012205550603022178,0.2556922578448771
SVD #062,Text (SVD),0.7012107581292034,0.001204073989324308,0.2608534861465619
SVD #245,Text (SVD),0.6773945919274927,0.0011631784013481452,0.987444110371927
SVD #177,Text (SVD),0.6703675696523292,0.0011511120509023812,0.6677407782452285
SVD #151,Text (SVD),0.6673292115706415,0.0011458947779298815,0.5846969987877461
SVD #099,Text (SVD),0.6658722036050323,0.001143392897613172,0.3732229279025642
SVD #114,Text (SVD),0.6624344801000104,0.0011374898600358123,0.4097811975575252
SVD #092,Text (SVD),0.6535951873674422,0.001122311595384391,0.3471737073545977
SVD #166,Text (SVD),0.649534602052808,0.001115339019590164,0.6376266476291047
SVD #244,Text (SVD),0.5925872025550419,0.0010175526098695562,0.9862809319705789
SVD #246,Text (SVD),0.5904191599135111,0.0010138297865640812,0.9884579401584911
SVD #155,Text (SVD),0.5680908430579371,0.0009754890377385555,0.5971018964687195
SVD #085,Text (SVD),0.5587510410578784,0.0009594513307819295,0.3266439218242144
SVD #024,Text (SVD),0.5281330946216377,0.0009068761634973319,0.1437198870539165
SVD #105,Text (SVD),0.5116249705314728,0.0008785294751456922,0.3883060422395287
SVD #181,Text (SVD),0.5103495458476005,0.0008763393979550768,0.6825043720444839
SVD #035,Text (SVD),0.49476212164194705,0.0008495736761959517,0.1823898886415096
SVD #237,Text (SVD),0.49224775324176573,0.0008452561645845862,0.95961416133767
