Term,PMI,DF,DF_in_group,P(term),P(group),"P(term,group)",P(term|group)
black teen,3.6674928108570826,372,141,0.0006950205143151806,0.029829832074075736,0.00026343519494204424,0.008831266441187523
fuck black,3.666370591854286,301,114,0.000562368749486208,0.029829832074075736,0.00021299015761271664,0.007140172867343104
blacks,3.665737600962504,140,53,0.0002615668602261432,0.029829832074075736,9.902173994275423e-05,0.003319554052361268
ebony sloppy,3.656312201942639,226,85,0.00042224364579363123,0.029829832074075736,0.00015880845085158697,0.005323813102843543
pussy ebony,3.653881874777448,1321,496,0.0024680701597052514,0.029829832074075736,0.0009266940190869074,0.03106601528247526
ms,3.653070604980284,477,179,0.000891195659484788,0.029829832074075736,0.00033443191414628314,0.011211324063635226
hair ebony,3.6471968386184668,99,37,0.00018496513687420128,0.029829832074075736,6.912838448833785e-05,0.0023174245271201303
doggy ebony,3.646524513964469,174,65,0.000325090240566778,0.029829832074075736,0.0001214417565335665,0.004071151196292121
anal ebony,3.64606406083224,723,270,0.0013508059995964398,0.029829832074075736,0.0005044503732932762,0.016910935738444193
lightskin,3.643634166084334,515,192,0.0009621923786890269,0.029829832074075736,0.0003587202654529964,0.012025554302893648
ebony pov,3.640285521437111,164,61,0.0003064068934077678,0.029829832074075736,0.00011396841766996241,0.0038206188149818364
