Group,AdjustedRate,Gap_vs_Priv,threshold
Other,0.2921797762553118,0.006986866974811268,0.425
White Women,0.2851929092805005,0.0,0.425
Asian Women,0.2750904902928595,-0.008016913252500257,0.43
Black Women,0.27622925148762917,-0.006878152057730569,0.43
Latina Women,0.3315565031982942,0.04844909965293448,0.43
Other,0.2882880929667852,0.005180689421425466,0.43
White Women,0.28310740354535974,0.0,0.43
Asian Women,0.26850937808489633,-0.009905637556396674,0.435
Black Women,0.2662073285311619,-0.012207687110131094,0.435
Latina Women,0.31982942430703626,0.04141440866574325,0.435
Other,0.282542710953083,0.0041276953117899695,0.435
White Women,0.278415015641293,0.0,0.435
Asian Women,0.263573543928924,-0.012408381688038095,0.44
Black Women,0.2618227372377075,-0.014159188379254617,0.44
Latina Women,0.3148542999289268,0.038872374311964664,0.44
Other,0.27867270835140057,0.002690782734438457,0.44
White Women,0.2759819256169621,0.0,0.44
Asian Women,0.25567620927936824,-0.015265744144337012,0.445
Black Women,0.25587222048230507,-0.015069732941400182,0.445
Latina Women,0.30632551528073915,0.035383561857033896,0.445
Other,0.2731116121758737,0.0021696587521684574,0.445
White Women,0.27094195342370525,0.0,0.445
Asian Women,0.2527147087857848,-0.015620362468994509,0.45
Black Women,0.2505480739116818,-0.017786997343097466,0.45
Latina Women,0.3009950248756219,0.03265995362084262,0.45
Other,0.26915488682681465,0.000819815572035365,0.45
White Women,0.2683350712547793,0.0,0.45
Asian Women,0.2464626521882198,-0.017353823307087818,0.455
Black Women,0.24146570623238334,-0.022350769262924286,0.455
Latina Women,0.2917555081734186,0.027939032678110987,0.455
Other,0.2637672361460411,-4.9239349266538834e-05,0.455
White Women,0.2638164754953076,0.0,0.455
Asian Women,0.24415926291543272,-0.017050330410948944,0.46
Black Women,0.2352020043845913,-0.026007588941790366,0.46
Latina Women,0.283226723525231,0.022017130198849322,0.46
Other,0.26012488075622237,-0.0010847125701592963,0.46
White Women,0.26120959332638166,0.0,0.46
Asian Women,0.23757815070746957,-0.02102456044998613,0.465
Black Women,0.22643282179768243,-0.032169889359773274,0.465
Latina Women,0.27292110874200426,0.014318397584548559,0.465
Other,0.2543903390859422,-0.004212372071513482,0.465
White Women,0.2586027111574557,0.0,0.465
Asian Women,0.23165514972030274,-0.02347171854525168,0.47
Black Women,0.22048230504227997,-0.034644563223274444,0.47
Latina Women,0.2658137882018479,0.010686919936293504,0.47
Other,0.24891596565779203,-0.006210902607762386,0.47
White Women,0.2551268682655544,0.0,0.47
