Group,AdjustedRate,Gap_vs_Priv,threshold
Other,0.4022634637065302,0.05155091591369043,0.3
White Women,0.3507125477928398,0.0,0.3
Asian Women,0.42546890424481737,0.07736323862090355,0.305
Black Women,0.43877231443783277,0.09066664881391895,0.305
Latina Women,0.5472636815920398,0.19915801596812593,0.305
Other,0.3974178301968606,0.04931216457294679,0.305
White Women,0.3481056656239138,0.0,0.305
Asian Women,0.4175715695952616,0.07137761756189348,0.31
Black Women,0.43313498277481993,0.08694103074145182,0.31
Latina Women,0.5401563610518835,0.19396240901851536,0.31
Other,0.3941874078570809,0.04799345582371278,0.31
White Women,0.3461939520333681,0.0,0.31
Asian Women,0.4113195129976966,0.06721106669946925,0.315
Black Women,0.42687128092702786,0.08276283462880052,0.315
Latina Women,0.5259417199715707,0.18183327367334334,0.315
Other,0.38922253056976847,0.04511408427154112,0.315
White Women,0.34410844629822734,0.0,0.315
Asian Women,0.4053965120105298,0.06319977930284815,0.32
Black Women,0.42279987472596303,0.08060314201828139,0.32
Latina Women,0.5184790334044065,0.17628230069672485,0.32
Other,0.385753620674703,0.04355688796702134,0.32
White Women,0.34219673270768164,0.0,0.32
Asian Women,0.40013162224415927,0.060020395271618454,0.325
Black Women,0.419668023802067,0.07955679682952621,0.325
Latina Women,0.5088841506751954,0.16877292370265462,0.325
Other,0.38056109617552686,0.040449869202986044,0.325
White Women,0.3401112269725408,0.0,0.325
Asian Women,0.39585389930898324,0.05678542520401281,0.33
Black Women,0.4140306921390542,0.07496221803408376,0.33
Latina Women,0.5053304904051172,0.1662620163001468,0.33
Other,0.3772439510883705,0.03817547698340007,0.33
White Women,0.33906847410497043,0.0,0.33
Asian Women,0.38861467588022375,0.05145791536579902,0.335
Black Women,0.40588787973692453,0.0687311192224998,0.335
Latina Women,0.4943141435678749,0.15715738305345017,0.335
Other,0.37204058624577224,0.03488382573134752,0.335
White Women,0.3371567605144247,0.0,0.335
Asian Women,0.3830207305034551,0.04829706001336126,0.34
Black Women,0.3999373629815221,0.06521369249142828,0.34
Latina Women,0.48471926083866385,0.14999559034857002,0.34
Other,0.3689510883704796,0.034227417880385747,0.34
White Women,0.3347236704900938,0.0,0.34
Asian Women,0.37150378413951957,0.039560787962946764,0.345
Black Women,0.39367366113373004,0.06173066495715723,0.345
Latina Women,0.47299218194740583,0.14104918577083303,0.345
Other,0.3637477235278814,0.03180472735130857,0.345
White Women,0.3319429961765728,0.0,0.345
Asian Women,0.3616321158275749,0.03264358610911816,0.35
Black Women,0.38459129345443155,0.055602763735974836,0.35
Latina Women,0.4623312011371713,0.1333426714187146,0.35
Other,0.3586744428063481,0.02968591308789137,0.35
White Women,0.3289885297184567,0.0,0.35
Asian Women,0.355709114840408,0.028110922278711814,0.355
Black Women,0.3755089257751331,0.04791073321343692,0.355
Latina Women,0.4541577825159915,0.12655958995429528,0.355
Other,0.35482612089150983,0.027227928329813633,0.355
White Women,0.3275981925616962,0.0,0.355
Asian Women,0.351431391905232,0.02504974435570123,0.36
Black Women,0.3711243344816787,0.044742686932147946,0.36
Latina Women,0.44811656005685857,0.12173491250732782,0.36
Other,0.35147645477408723,0.02509480722455648,0.36
White Women,0.32638164754953075,0.0,0.36
Asian Women,0.3445212240868707,0.020398874417075774,0.365
